,particle,x,y,time step
688,89,4.62165,4.6763,7
689,90,5.00224,5.32874,7
690,91,5.27533,5.01538,7
691,92,4.44815,4.31532,7
692,93,4.66251,5.23167,7
693,94,4.36711,5.09232,7
694,95,5.42296,4.36036,7
695,96,5.14163,4.48198,7
696,97,4.89743,5.56958,7
697,98,4.11428,4.94308,7
698,99,5.17539,5.78332,7
699,100,4.87701,5.07306,7
700,1,5.1666,5.38791,8
701,2,5.34835,5.19051,8
702,3,5.22763,5.75955,8
703,4,5.06486,4.55444,8
704,5,5.13383,5.00818,8
705,6,5.03178,4.40835,8
706,7,4.60297,5.54044,8
707,8,5.89733,5.20441,8
708,9,5.25838,4.99926,8
709,10,5.10754,4.64448,8
710,11,5.18823,4.51961,8
711,12,5.58163,4.96787,8
712,13,5.4169,4.83873,8
713,14,4.35176,5.2884,8
714,15,6.11018,4.39827,8
715,16,4.45524,5.7697,8
716,17,4.77275,5.51582,8
717,18,5.01803,5.35258,8
718,19,5.99821,5.39242,8
719,20,5.72978,4.79099,8
720,21,5.21507,4.306,8
721,22,5.50962,4.67568,8
722,23,5.24923,4.86926,8
723,24,4.87622,5.17098,8
724,25,5.11397,4.64153,8
725,26,5.24002,4.58722,8
726,27,4.84666,5.00488,8
727,28,4.70731,4.90397,8
728,29,4.50387,4.76079,8
729,30,4.68363,5.46784,8
730,31,4.29528,4.40053,8
731,32,5.29705,5.73136,8
732,33,5.00823,5.16803,8
733,34,4.53818,4.06582,8
734,35,5.27463,5.06145,8
735,36,5.16988,4.99672,8
736,37,5.32521,4.29268,8
737,38,4.53535,5.39784,8
738,39,5.13055,4.51431,8
739,40,5.65294,4.60358,8
740,41,4.89492,4.6257,8
741,42,4.88819,5.15954,8
742,43,5.33571,4.74256,8
743,44,5.50869,5.56914,8
744,45,5.45709,4.84461,8
745,46,4.20814,5.27758,8
746,47,4.9866,5.20332,8
747,48,4.43347,5.13927,8
748,49,5.16088,4.71836,8
749,50,4.61592,4.57678,8
750,51,5.58726,4.29561,8
751,52,4.51129,5.2879,8
752,53,5.27712,4.80793,8
753,54,5.46333,5.05948,8
754,55,5.14251,4.3277,8
755,56,4.53249,4.93508,8
