,spot ID,Track ID,T (sec),x (micron),y (micron),Frame,Ids,squared displacement,dt,vx,vy,speed
4542,131807,57,526.278,123.683,116.024,158,,19.06780499999995,1.0,0.09336535574902644,-0.015310717502252156,0.09461240787854432
4543,131809,57,529.609,123.476,116.179,159,,20.310852999999955,1.0,-0.06214350045031758,0.046532572800961014,0.07763436725893602
4544,131811,57,532.94,123.062,115.972,160,,18.489873999999897,1.0,-0.12428700090063088,-0.06214350045031758,0.1389570913666951
4545,131813,57,536.271,123.01,115.817,161,,17.20668099999989,1.0,-0.015610927649352296,-0.046532572800961014,0.049081375220648094
4546,131815,57,539.602,123.01,115.817,162,,17.20668099999989,1.0,0.0,0.0,0.0
4547,131817,57,542.933,122.596,115.92,163,,18.45597799999996,1.0,-0.12428700090063088,0.03092164515160872,0.1280757851108297
4548,131819,57,546.263,122.492,116.024,164,,19.50013799999995,1.0,-0.03122185529870886,0.03122185529870886,0.04415437120588435
4549,131821,57,549.594,121.613,116.386,165,,24.917016999999916,1.0,-0.2638847193035139,0.10867607325127432,0.2853868146554964
4550,131823,57,552.925,120.681,116.127,166,,26.50024399999994,1.0,-0.2797958570999706,-0.07775442809966987,0.290398816697682
4551,131825,57,556.256,120.215,115.868,167,,26.891396999999913,1.0,-0.13989792854998317,-0.07775442809966987,0.1600536831868699
4552,131827,57,559.587,120.215,115.817,168,,26.4665159999999,1.0,0.0,-0.015310717502252156,0.015310717502252156
4553,131829,57,562.918,119.801,115.403,169,,25.910100000000018,1.0,-0.12428700090063088,-0.12428700090062662,0.17576836230034626
4554,131831,57,566.249,119.129,114.782,170,,26.780624999999944,1.0,-0.20174121885319635,-0.18643050135094846,0.2746922845992207
4555,131833,57,569.58,118.508,114.782,171,,32.30814600000003,1.0,-0.18643050135094846,0.0,0.18643050135094846
4556,131835,57,572.91,118.611,114.937,172,,32.32456399999995,1.0,0.03092164515160872,0.046532572800961014,0.055869745572704584
4557,131837,57,576.241,118.301,114.575,173,,33.079428000000014,1.0,-0.09306514560192203,-0.10867607325127432,0.14307903488360302
4558,131839,57,579.572,117.938,114.264,174,,35.11212999999998,1.0,-0.10897628339837873,-0.09336535574902644,0.1435023344669557
4559,131841,57,582.903,117.938,113.643,175,,32.28471700000001,1.0,0.0,-0.1864305013509442,0.1864305013509442
4560,131843,57,586.234,117.887,113.591,176,,32.62932000000001,1.0,-0.015310717502252156,-0.015610927649356562,0.02186593543636347
4561,131845,57,589.565,117.731,113.643,177,,34.5346000000001,1.0,-0.04683278294806542,0.015610927649356562,0.04936608776006108
4562,131847,57,592.896,117.731,113.643,178,,34.5346000000001,1.0,0.0,0.0,0.0
4563,131849,57,596.227,117.731,113.643,179,,34.5346000000001,1.0,0.0,0.0,0.0
4564,131851,57,599.557,117.421,113.488,180,,37.478824999999965,1.0,-0.09306514560191777,-0.046532572800961014,0.10404999595090281
