xHead	yHead	tHead	xTail	yTail	tTail	xBody	yBody	tBody	curvature	areaBody	perimeterBody	headMajorAxisLength	headMinorAxisLength	headExcentricity	tailMajorAxisLength	tailMinorAxisLength	tailExcentricity	bodyMajorAxisLength	bodyMinorAxisLength	bodyExcentricity	imageNumber	id
143.917	246.599	3.85816	143.945	231.301	5.08014	143.888	240.43	4.66657	0.00289635	69	86.4264	9.37515	3.8226	0.913099	9.66455	1.72631	0.983918	17.0347	6.21887	0.93098	1	7
58.8983	219.841	0.618636	49.7324	226.111	0.622973	54.9254	222.567	0.604091	1.5469e-05	47	47.9411	6.57704	2.04005	0.950678	5.48613	1.89981	0.938126	12.5218	1.80815	0.989519	1	8
287.817	228.842	4.24866	282.915	212.238	5.39466	285.772	221.918	5.01557	0.00299209	108.5	144.125	10.9965	6.35554	0.816065	14.497	3.6259	0.968216	20.3802	7.8921	0.921977	1	9
174.491	203.716	1.79704	175.048	210.388	1.59832	174.805	207.463	1.6518	0.00395159	25	33.3137	3.32934	2.03552	0.791331	4.60343	1.77023	0.923106	7.79035	1.72686	0.975123	1	10
68.1671	204.323	3.44503	77.0116	202.249	3.31584	73.125	203.161	3.36516	0.000326998	36	41.3137	4.27155	2.05774	0.876319	6.35366	1.78832	0.959572	10.5584	1.75153	0.986144	1	11
253.309	206.025	3.82357	259.4	201.548	3.69252	256.811	203.459	3.76382	0.000188072	22	35.4558	3.54667	1.66109	0.883543	5.2153	1.66355	0.947763	8.70664	1.45801	0.985879	1	12
216.62	202.303	1.49416	215.363	211.348	1.5143	215.944	207.183	1.45	0.000974394	50.5	42.7279	4.88369	2.31477	0.880536	5.88305	2.2329	0.925172	10.6108	2.14862	0.979284	1	13
162.928	193.178	1.62222	163.147	199.715	1.67492	163.053	196.868	1.6171	0.00110334	23	29.6569	3.41279	1.78969	0.851468	4.50145	1.81032	0.915568	7.59131	1.54819	0.978983	1	14
88.5577	189.802	0.126009	74.4653	191.605	0.153699	81.7656	190.672	0.129944	0.000157578	35.5	59.5563	7.97594	1.59375	0.979833	7.45956	1.56915	0.977625	16.1301	1.38583	0.996302	1	15
118.383	201.221	3.75502	130.656	191.066	4.04737	124.844	195.867	3.86632	0.00171895	97.5	90.8112	10.2766	3.11518	0.952948	12.1835	2.69223	0.97528	19.4587	3.31211	0.985407	1	16
4.46818	198.009	4.04686	9.07073	188.594	4.32533	6.46753	193.883	4.23711	0.00416597	51.5	57.6985	6.0678	3.09463	0.860169	5.94266	2.07868	0.936828	12.0294	2.71152	0.974264	1	17
314.119	172.559	0.605114	308.29	176.157	0.486903	311.7	174.05	0.554253	0.000150057	26	30.9706	4.40041	1.93503	0.898126	3.5847	1.76103	0.871011	7.87829	1.66207	0.977493	1	18
