 ,Label,Area,X,Y,XM,YM
149,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:16/200 - Series 1,2.376,31.830,42.055,31.830,42.055
150,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:16/200 - Series 1,2.504,7.863,43.099,7.863,43.099
151,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:16/200 - Series 1,2.695,33.424,47.521,33.424,47.521
152,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:16/200 - Series 1,2.727,6.131,46.185,6.131,46.185
153,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:16/200 - Series 1,2.313,17.248,46.931,17.248,46.931
154,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:17/200 - Series 1,2.387,10.297,9.741,10.297,9.741
155,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:17/200 - Series 1,2.345,37.498,15.619,37.498,15.619
156,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:17/200 - Series 1,2.483,28.518,18.449,28.518,18.449
157,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:17/200 - Series 1,2.366,22.657,19.190,22.657,19.190
158,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:17/200 - Series 1,2.716,12.466,35.535,12.466,35.535
159,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:17/200 - Series 1,3.066,19.756,40.811,19.756,40.811
160,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:17/200 - Series 1,2.334,31.573,42.006,31.573,42.006
161,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:17/200 - Series 1,2.589,8.266,43.160,8.266,43.160
162,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:17/200 - Series 1,2.780,33.418,47.515,33.418,47.515
163,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:17/200 - Series 1,3.660,16.172,47.169,16.172,47.169
164,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:18/200 - Series 1,2.302,10.765,9.743,10.765,9.743
165,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:18/200 - Series 1,2.355,37.128,15.578,37.128,15.578
166,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:18/200 - Series 1,2.493,28.661,18.347,28.661,18.347
167,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:18/200 - Series 1,2.801,12.258,35.835,12.258,35.835
168,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:18/200 - Series 1,2.334,29.327,40.123,29.327,40.123
169,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:18/200 - Series 1,3.108,19.711,40.894,19.711,40.894
