 ,Label,Area,X,Y,XM,YM
93,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,1.252,19.124,20.579,19.124,20.579
94,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,1.634,17.152,28.602,17.152,28.602
95,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,1.305,16.445,30.848,16.445,30.848
96,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,1.804,37.093,30.888,37.093,30.888
97,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,2.673,13.874,34.052,13.874,34.052
98,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,1.284,12.572,34.237,12.572,34.237
99,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,1.443,20.124,39.680,20.124,39.680
100,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,1.050,28.151,40.922,28.151,40.922
101,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,1.506,19.356,42.149,19.356,42.149
102,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,2.323,31.899,42.078,31.899,42.078
103,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,1.018,48.243,43.180,48.243,43.180
104,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,1.241,23.184,42.735,23.184,42.735
105,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,2.472,5.914,43.450,5.914,43.450
106,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,2.101,22.983,43.701,22.983,43.701
107,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,1.252,20.738,43.727,20.738,43.727
108,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,1.750,23.762,44.232,23.762,44.232
109,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,1.804,1.281,44.869,1.281,44.869
110,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,1.018,48.055,46.197,48.055,46.197
111,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,2.673,33.421,47.447,33.421,47.447
112,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,2.546,6.177,46.425,6.177,46.425
113,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,1.093,23.450,47.436,23.450,47.436
114,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,2.302,10.005,9.812,10.005,9.812
115,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,1.347,5.403,10.195,5.403,10.195
116,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,1.411,7.989,11.444,7.989,11.444
117,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,2.292,38.385,15.757,38.385,15.757
118,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,2.196,19.886,19.184,19.886,19.184
119,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,1.634,28.006,18.944,28.006,18.944
120,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,1.284,15.753,19.579,15.753,19.579
121,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,2.546,23.314,19.405,23.314,19.405
122,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,1.305,19.079,20.555,19.079,20.555
123,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,1.538,17.154,28.386,17.154,28.386
124,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,1.453,36.696,29.816,36.696,29.816
125,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,1.719,37.357,30.412,37.357,30.412
126,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,1.252,16.441,30.903,16.441,30.903
127,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,2.684,13.824,34.089,13.824,34.089
128,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,1.358,12.432,34.298,12.432,34.298
129,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,1.506,20.150,39.631,20.150,39.631
130,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,1.018,28.235,40.923,28.235,40.923
131,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,1.496,19.376,42.097,19.376,42.097
132,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,2.292,31.931,42.090,31.931,42.090
133,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,1.125,48.202,43.167,48.202,43.167
134,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,3.395,22.365,43.624,22.365,43.624
135,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,2.451,5.986,43.352,5.986,43.352
136,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,1.326,20.183,44.013,20.183,44.013
137,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,1.623,22.911,44.615,22.911,44.615
138,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,1.782,1.376,45.562,1.376,45.562
139,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,2.631,33.436,47.471,33.436,47.471
140,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,2.504,6.089,46.418,6.089,46.418
141,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,1.231,23.662,47.099,23.662,47.099
142,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,1.050,0.973,2.174,0.973,2.174
143,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,2.313,9.987,9.804,9.987,9.804
144,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,1.432,5.324,10.183,5.324,10.183
145,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,1.475,7.963,11.434,7.963,11.434
146,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,2.249,38.333,15.736,38.333,15.736
147,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,2.048,20.150,19.161,20.150,19.161
148,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,1.613,28.225,18.893,28.225,18.893
149,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,1.156,15.547,19.507,15.547,19.507
150,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,2.557,23.403,19.403,23.403,19.403
151,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,1.273,18.767,20.532,18.767,20.532
152,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,1.549,17.140,27.725,17.140,27.725
153,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,1.708,37.575,30.010,37.575,30.010
154,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,1.262,16.479,30.844,16.479,30.844
155,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,2.716,13.857,34.038,13.857,34.038
156,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,1.125,34.882,33.261,34.882,33.261
157,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,1.347,12.328,34.351,12.328,34.351
158,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,2.122,29.412,40.145,29.412,40.145
159,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,1.464,20.185,39.560,20.185,39.560
160,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,1.453,19.376,42.112,19.376,42.112
161,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,2.249,31.940,42.109,31.940,42.109
162,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,1.093,48.402,42.741,48.402,42.741
163,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,2.408,6.107,43.284,6.107,43.284
164,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,1.273,21.657,43.362,21.657,43.362
165,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,2.175,21.189,44.462,21.189,44.462
166,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,1.294,19.269,44.269,19.269,44.269
167,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,1.644,22.228,44.981,22.228,44.981
168,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,1.103,47.943,45.667,47.943,45.667
169,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,1.040,48.766,46.201,48.766,46.201
