,Spot ID,Track_ID,X (micron),Y (micron),T (sec),Frame,is main track,which main track id,frame range
310,4908,1,13.7,120.03,366.4,110,False,,
311,4910,1,13.42,119.82,369.73,111,False,,
312,4912,1,13.35,119.89,373.06,112,False,,
313,4914,1,13.35,119.89,376.39,113,False,,
314,4916,1,13.63,119.61,379.72,114,False,,
315,4918,1,13.63,119.61,383.05,115,False,,
316,4920,1,13.63,119.61,386.38,116,False,,
317,4922,1,13.63,119.61,389.71,117,False,,
318,4924,1,13.63,119.96,393.04,118,False,,
319,4926,1,13.63,119.96,396.37,119,False,,
320,4928,1,13.63,119.96,399.7,120,False,,
321,4930,1,13.63,119.96,403.04,121,False,,
322,4932,1,13.63,119.96,406.37,122,False,,
323,4934,1,13.63,119.96,409.7,123,False,,
324,4938,1,13.63,119.96,413.03,124,False,,
325,4940,1,13.56,119.89,416.36,125,False,,
326,4942,1,13.56,119.89,419.69,126,False,,
327,4944,1,13.42,119.54,423.02,127,False,,
328,4946,1,13.42,119.54,426.35,128,False,,
329,4948,1,13.42,119.54,429.68,129,False,,
330,4950,1,13.42,119.54,433.01,130,False,,
331,4955,1,13.63,119.89,436.34,131,False,,
332,4957,1,13.63,119.89,439.68,132,False,,
333,4959,1,13.63,119.89,443.01,133,False,,
334,4961,1,13.63,119.89,446.34,134,False,,
335,4963,1,13.63,119.89,449.67,135,False,,
336,4965,1,13.63,119.89,453.0,136,False,,
337,4967,1,13.63,119.89,456.33,137,False,,
338,4969,1,13.63,119.89,459.66,138,False,,
339,4971,1,13.63,119.89,462.99,139,False,,
340,4973,1,13.77,120.09,466.32,140,False,,
341,4975,1,13.63,119.68,469.65,141,False,,
342,4977,1,13.63,119.96,472.98,142,False,,
343,4979,1,13.63,119.96,476.32,143,False,,
344,4981,1,13.63,119.96,479.65,144,False,,
345,4983,1,13.63,119.96,482.98,145,False,,
346,4985,1,13.63,119.96,486.31,146,False,,
347,4987,1,13.63,119.96,489.64,147,False,,
348,4989,1,13.63,119.61,492.97,148,False,,
349,4991,1,13.63,119.61,496.3,149,False,,
350,4993,1,13.7,119.82,499.63,150,False,,
351,4995,1,13.7,119.82,502.96,151,False,,
352,4997,1,13.7,119.82,506.29,152,False,,
353,4999,1,13.42,119.75,509.62,153,False,,
354,5001,1,13.56,119.54,512.95,154,False,,
355,5003,1,13.56,119.54,516.29,155,False,,
356,5005,1,13.56,119.54,519.62,156,False,,
357,5007,1,13.56,119.54,522.95,157,False,,
358,5009,1,13.56,119.89,526.28,158,False,,
359,5011,1,13.56,119.89,529.61,159,False,,
360,5013,1,13.56,119.89,532.94,160,False,,
361,5015,1,13.56,119.89,536.27,161,False,,
362,5017,1,13.56,119.89,539.6,162,False,,
363,5019,1,13.56,119.89,542.93,163,False,,
364,5021,1,13.56,119.89,546.26,164,False,,
365,5023,1,13.56,119.89,549.59,165,False,,
366,5025,1,13.56,119.89,552.93,166,False,,
367,5027,1,13.56,119.89,556.26,167,False,,
368,5029,1,13.56,119.89,559.59,168,False,,
369,5031,1,13.56,119.89,562.92,169,False,,
370,5033,1,13.56,119.89,566.25,170,False,,
371,5035,1,13.56,119.89,569.58,171,False,,
372,5037,1,13.56,119.89,572.91,172,False,,
373,5039,1,13.56,119.89,576.24,173,False,,
374,5041,1,13.63,120.3,579.57,174,False,,
375,5043,1,13.7,121.06,582.9,175,False,,
