Spot ID,Track_ID,X (micron),Y (micron),T (sec),Frame
5467,2,125.75,57.39,606.22,182
5469,2,125.34,57.49,609.55,183
5473,2,124.82,57.44,612.88,184
5475,2,124.82,57.44,616.21,185
5477,2,124.82,57.44,619.54,186
5479,2,124.82,57.44,622.87,187
5481,2,124.82,57.44,626.2,188
5483,2,124.82,57.44,629.54,189
5485,2,124.82,57.44,632.87,190
5487,2,124.82,57.44,636.2,191
5489,2,124.82,57.44,639.53,192
5491,2,124.82,57.44,642.86,193
5495,2,124.82,57.44,646.19,194
5493,2,124.82,57.44,649.52,195
5498,2,124.2,56.87,652.85,196
5500,2,124.2,56.87,656.18,197
5502,2,124.2,56.61,659.51,198
5504,2,124.3,56.15,662.84,199
7568,3,87.25,86.22,0,0
7738,3,87.15,86.11,3.33,1
7742,3,87.15,86.11,6.66,2
7746,3,87.15,86.11,9.99,3
7748,3,86.84,86.01,13.32,4
7750,3,86.84,86.01,16.65,5
7752,3,86.84,86.01,19.99,6
7754,3,86.84,86.01,23.32,7
7756,3,86.84,86.01,26.65,8
7758,3,86.84,86.01,29.98,9
7760,3,86.94,86.11,33.31,10
7762,3,86.94,86.32,36.64,11
7764,3,86.84,85.91,39.97,12
7766,3,86.84,86.22,43.3,13
7768,3,86.84,86.01,46.63,14
7770,3,87.04,86.22,49.96,15
7772,3,87.04,86.22,53.29,16
7774,3,86.94,86.11,56.62,17
7776,3,87.04,86.32,59.96,18
7778,3,87.04,86.32,63.29,19
7780,3,86.73,86.11,66.62,20
7782,3,86.73,86.01,69.95,21
7784,3,86.84,86.01,73.28,22
7786,3,86.94,86.22,76.61,23
7788,3,87.25,86.42,79.94,24
7790,3,87.15,86.63,83.27,25
7792,3,87.15,86.63,86.6,26
7794,3,89.01,88.08,89.93,27
7796,3,88.6,87.98,93.26,28
7798,3,88.18,87.04,96.6,29
7800,3,87.77,86.84,99.93,30
7802,3,88.91,87.87,103.26,31
7804,3,88.39,87.66,106.59,32
7806,3,89.11,87.98,109.92,33
7808,3,88.6,87.77,113.25,34
7810,3,88.6,87.77,116.58,35
7812,3,88.6,87.77,119.91,36
7814,3,88.8,87.87,123.24,37
7816,3,88.6,87.66,126.57,38
7818,3,87.77,86.94,129.9,39
7820,3,87.46,86.53,133.23,40
7822,3,86.94,85.91,136.57,41
7824,3,86.94,85.91,139.9,42
7826,3,86.94,85.91,143.23,43
7828,3,86.94,85.91,146.56,44
7830,3,86.94,85.91,149.89,45
7832,3,86.94,85.91,153.22,46
7834,3,86.94,85.91,156.55,47
7836,3,86.94,85.91,159.88,48
7838,3,86.42,85.28,163.21,49
7840,3,86.42,85.28,166.54,50
7842,3,86.42,85.28,169.87,51
7846,3,86.42,85.28,173.21,52
7848,3,86.32,84.87,176.54,53
7850,3,86.22,84.35,179.87,54
7852,3,85.91,84.35,183.2,55
7854,3,85.91,84.35,186.53,56
7856,3,85.91,84.35,189.86,57
7858,3,85.8,83.73,193.19,58
7860,3,85.39,82.8,196.52,59
7862,3,85.39,82.39,199.85,60
7864,3,85.39,82.18,203.18,61
9867,3,85.39,81.66,206.51,62
10088,3,85.28,80.42,209.85,63
10091,3,85.18,80.11,213.18,64
10094,3,85.08,79.59,216.51,65
10096,3,85.18,78.87,219.84,66
10098,3,85.18,78.87,223.17,67
10100,3,85.18,78.87,226.5,68
10102,3,85.18,78.87,229.83,69
10104,3,85.18,78.56,233.16,70
10106,3,85.18,78.56,236.49,71
10108,3,85.18,78.56,239.82,72
10110,3,85.08,78.35,243.15,73
10112,3,85.28,79.07,246.48,74
10114,3,84.87,78.45,249.82,75
10116,3,84.87,78.45,253.15,76
10118,3,84.87,77.52,256.48,77
10120,3,84.56,77,259.81,78
10122,3,84.56,77,263.14,79
10124,3,84.46,76.28,266.47,80
10126,3,84.46,76.28,269.8,81
10128,3,84.46,76.28,273.13,82
10130,3,84.46,76.28,276.46,83
10132,3,84.46,76.28,279.79,84
10134,3,84.46,76.59,283.12,85
10136,3,84.46,76.38,286.46,86
10138,3,84.46,76.38,289.79,87
10140,3,84.35,76.49,293.12,88
10142,3,84.56,76.18,296.45,89
10144,3,84.56,76.18,299.78,90
10146,3,84.66,76.28,303.11,91
10148,3,84.66,76.28,306.44,92
10150,3,84.66,76.28,309.77,93
10152,3,84.66,76.28,313.1,94
10154,3,84.66,76.28,316.43,95
10156,3,84.87,76.18,319.76,96
10158,3,84.77,76.07,323.09,97
10160,3,84.77,75.97,326.43,98
10162,3,84.77,75.97,329.76,99
10164,3,84.77,76.28,333.09,100
10166,3,84.77,76.28,336.42,101
10168,3,84.77,76.28,339.75,102
10170,3,84.46,76.49,343.08,103
10172,3,84.66,76.49,346.41,104
10174,3,84.66,76.49,349.74,105
10176,3,84.77,76.18,353.07,106
10178,3,84.77,76.18,356.4,107
10180,3,84.66,76.18,359.73,108
10182,3,84.66,76.18,363.07,109
10184,3,84.66,76.18,366.4,110
10186,3,84.66,76.18,369.73,111
10188,3,84.66,76.18,373.06,112
10190,3,84.87,76.38,376.39,113
10192,3,84.87,76.38,379.72,114
10194,3,84.97,76.28,383.05,115
10196,3,84.97,76.28,386.38,116
10198,3,84.97,76.18,389.71,117
10200,3,84.97,76.28,393.04,118
10202,3,84.97,76.38,396.37,119
10204,3,84.87,75.87,399.7,120
10206,3,84.87,75.87,403.04,121
10208,3,84.87,75.87,406.37,122
10210,3,84.87,75.87,409.7,123
10212,3,84.97,75.56,413.03,124
10214,3,85.08,75.35,416.36,125
10216,3,85.39,75.14,419.69,126
10218,3,85.39,74.21,423.02,127
10220,3,85.7,73.38,426.35,128
10222,3,85.7,73.38,429.68,129
10224,3,86.42,72.45,433.01,130
