Spot ID,Track ID,x (micrón),y (micrón),t (sec),Frame
7983,10,70.24600625,33.97283636,110.0405729,33
7985,10,70.36617293,33.95566969,113.3751357,34
7987,10,70.29750626,33.95566969,116.7096985,35
7989,10,70.07433957,34.00716969,120.0442613,36
7991,10,70.10867291,34.04150303,123.3788241,37
7995,10,70.24600625,33.88700302,126.7133869,38
7997,10,70.21167292,33.90416968,130.0479497,39
7999,10,70.22883958,33.90416968,133.3825126,40
8001,10,70.4348396,33.76683634,136.7170754,41
8003,10,70.60650628,33.59516966,140.0516382,42
8005,10,70.21167292,34.09300303,143.386201,43
8007,10,69.50783952,35.12300313,146.7207638,44
8011,10,69.18167282,35.53500316,150.0553266,45
8013,10,69.01000614,35.80966985,153.3898894,46
8017,10,68.5465061,36.30750323,156.7244523,47
8021,10,68.35767275,36.53066992,160.0590151,48
8023,10,68.10017273,36.66800326,163.3935779,49
8025,10,67.92850605,36.85683661,166.7281407,50
8027,10,67.56800601,37.40617,170.0627035,51
8037,10,66.95000596,37.90400337,173.3972663,52
8039,10,66.84700595,38.12717006,176.7318291,53
8043,10,66.79550594,38.1615034,180.066392,54
8045,10,66.64100593,38.2130034,183.4009548,55
8047,10,66.60667259,38.12717006,186.7355176,56
8049,10,66.36633924,38.17867006,190.0700804,57
8051,10,65.49083916,38.89967013,193.4046432,58
8055,10,65.1990058,39.44900351,196.739206,59
8057,10,64.92433911,40.1013369,200.0737688,60
8059,10,64.35783906,40.82233697,203.4083317,61
8061,10,64.28917239,40.8566703,206.7428945,62
8063,10,64.11750571,40.95967031,210.0774573,63
8065,10,64.11750571,40.95967031,213.4120201,64
8067,10,64.23767238,40.83950363,216.7465829,65
8069,10,64.15183904,40.99400365,220.0811457,66
8071,10,63.92867236,41.16567033,223.4157085,67
8075,10,63.60250566,41.33733701,226.7502714,68
8077,10,63.51667232,41.234337,230.0848342,69
8079,10,63.49950565,41.28583701,233.419397,70
8081,10,63.49950565,41.26867034,236.7539598,71
8083,10,63.48233898,41.25150367,240.0885226,72
8085,10,63.48233898,41.30300368,243.4230854,73
8087,10,63.43083898,41.35450368,246.7576482,74
8089,10,63.12183895,41.74933705,250.0922111,75
8093,10,63.05317228,41.88667039,253.4267739,76
8095,10,63.17333896,41.80083705,256.7613367,77
8099,10,63.2591723,42.09267041,260.0958995,78
8103,10,63.20767229,42.14417042,263.4304623,79
8107,10,63.2591723,42.12700375,266.7650251,80
8109,10,63.24200563,42.19567042,270.0995879,81
8111,10,63.17333896,42.29867043,273.4341508,82
8113,10,63.12183895,42.33300377,276.7687136,83
8115,10,63.15617229,42.35017044,280.1032764,84
8117,10,63.19050562,42.45317044,283.4378392,85
8119,10,63.24200563,42.52183712,286.772402,86
8121,10,63.17333896,42.55617045,290.1069648,87
8123,10,63.03600561,42.71067047,293.4415276,88
8133,10,63.07033895,42.88233715,296.7760905,89
8135,10,63.39650564,42.17850375,300.1106533,90
8139,10,63.41367231,42.07550374,303.4452161,91
8141,10,63.39650564,42.21283709,306.7797789,92
8143,10,63.34500564,42.24717043,310.1143417,93
