#vx_post  vy_post  v_post
-3.85501 0.385372 3.87422
0 0 0
0 0 0
0 0 0
0 0 0
5.38619 -6.47812 8.42479
0 0 0
0 0 0
7.22875 9.68914 12.0886
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-8.45405 -2.78203 8.90003
0 0 0
0 0 0
0 0 0
0 0 0
-3.5434 8.65858 9.35557
5.45134 4.64757 7.16359
11.5611 -0.28898 11.5647
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
2.12316 -0.555744 2.19469
-3.19349 -3.36931 4.64226
-2.58304 10.0244 10.3518
1.11169 2.99377 3.19352
5.99725 -4.97397 7.7915
0 0 0
0 0 0
-6.49334 -4.19194 7.7289
0 0 0
0 0 0
0 0 0
0 0 0
7.61331 6.77971 10.1945
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
6.26227 8.21798 10.3321
-2.7189 -5.499 6.13445
0 0 0
0 0 0
3.66015 4.78158 6.02165
-1.02803 0.855142 1.33721
0 0 0
1.20004 -1.05619 1.59863
0 0 0
0 0 0
-2.44749 0.806421 2.57692
0 0 0
0 0 0
13.6675 12.8073 18.7304
0 0 0
0 0 0
0 0 0
1.66515 0.464307 1.72867
6.94178 5.90904 9.1162
0 0 0
8.9988 11.0383 14.2416
0 0 0
0 0 0
4.23017 0.0686472 4.23073
0 0 0
-3.14592 0.804975 3.24728
7.11477 3.79792 8.065
6.56581 4.30332 7.85038
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
3.37288 2.45035 4.16899
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
5.982 3.71256 7.04042
0 0 0
6.01404 -6.19951 8.63728
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-3.16141 -3.63433 4.81693
0 0 0
0 0 0
7.04965 9.19056 11.5829
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-2.83724 -2.78495 3.97566
0.360724 -1.91644 1.9501
-5.28896 -2.70045 5.93848
14.447 2.24693 14.6207
4.03775 8.03937 8.99638
1.56565 0.243447 1.58446
0 0 0
7.05967 9.01792 11.4526
0 0 0
0 0 0
-6.3 5.58552 8.4195
-2.15245 -2.68081 3.43799
0 0 0
0 0 0
13.5947 15.8035 20.8462
0 0 0
8.26518 8.24984 11.6779
0 0 0
0 0 0
0 0 0
-2.53778 -2.57373 3.61447
0 0 0
0 0 0
9.44419 -2.7425 9.83432
0 0 0
0 0 0
-0.548191 -4.99257 5.02258
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
8.01665 10.286 13.041
0 0 0
6.24047 6.2822 8.85491
0 0 0
0 0 0
0 0 0
-1.16523 -1.29778 1.74413
-7.57743 0.438385 7.5901
0 0 0
0 0 0
0 0 0
0 0 0
0.914339 -3.56873 3.684
0 0 0
0 0 0
0 0 0
0 0 0
-5.04392 -5.36292 7.3622
-2.7367 -3.16693 4.18557
0.460977 -2.35361 2.39833
0 0 0
0.454351 1.47892 1.54714
0 0 0
4.83981 0.842966 4.91267
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0.52563 3.35661 3.39752
-10.2176 -2.61843 10.5478
5.5324 1.0035 5.62268
0 0 0
4.11637 8.26954 9.23742
0 0 0
-0.999662 10.8815 10.9273
-6.03264 -6.26146 8.69474
-5.06829 -5.56626 7.528
6.97256 4.16032 8.11941
0 0 0
-6.35626 -5.23995 8.23766
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
7.00164 2.41842 7.40755
9.48006 8.06115 12.444
0 0 0
0 0 0
-5.43684 6.47341 8.45365
-3.72148 -3.86966 5.36877
0 0 0
0 0 0
0 0 0
-1.74392 -0.526436 1.82165
-3.47088 -1.5471 3.80007
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
14.5356 2.84412 14.8112
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-2.36529 9.57008 9.85805
0 0 0
0 0 0
0 0 0
0 0 0
-4.34275 -3.01386 5.2861
0 0 0
0 0 0
1.35775 0.0421615 1.35841
-0.909625 -10.3869 10.4267
0 0 0
0 0 0
7.34828 8.35274 11.125
0 0 0
0 0 0
0 0 0
-3.2995 8.36343 8.99075
9.79082 10.8443 14.6102
11.3244 -0.590843 11.3398
0 0 0
0 0 0
-10.4408 -10.0917 14.5208
-0.0387629 1.65497 1.65543
