frame,Area,X,Y,x,y,particle
14,1.305,16.739,30.342,16.739,30.342,24
15,1.496,20.174,39.601,20.174,39.601,12
15,2.599,7.705,43.043,7.705,43.043,13
15,1.125,49.299,40.835,49.299,40.835,30
15,1.008,28.058,40.971,28.058,40.971,15
15,2.345,31.888,42.064,31.888,42.064,11
15,1.061,48.298,43.662,48.298,43.662,5
15,1.814,1.89,48.993,1.89,48.993,32
15,2.684,33.446,47.537,33.446,47.537,4
15,2.642,6.114,46.191,6.114,46.191,3
15,1.146,25.538,45.499,25.538,45.499,1
15,1.506,10.967,35.64,10.967,35.64,14
15,1.337,15.332,19.442,15.332,19.442,19
15,2.875,12.491,35.325,12.491,35.325,29
15,1.453,7.9,10.869,7.9,10.869,16
15,2.281,38.275,15.662,38.275,15.662,17
15,2.578,26.971,18.894,26.971,18.894,20
15,1.411,5.069,10.032,5.069,10.032,0
15,1.294,18.504,20.473,18.504,20.473,22
15,1.761,16.569,24.812,16.569,24.812,38
15,1.56,38.902,27.548,38.902,27.548,37
15,1.878,39.742,27.824,39.742,27.824,33
15,1.761,31.282,19.068,31.282,19.068,21
15,1.252,16.74,30.403,16.74,30.403,24
16,1.453,20.217,39.519,20.217,39.519,12
16,1.156,49.47,40.465,49.47,40.465,30
16,1.146,28.096,40.982,28.096,40.982,15
16,2.376,31.83,42.055,31.83,42.055,11
16,1.125,48.333,43.258,48.333,43.258,5
16,2.504,7.863,43.099,7.863,43.099,13
16,1.135,25.788,45.02,25.788,45.02,1
16,1.125,48.344,46.954,48.344,46.954,41
16,2.727,6.131,46.185,6.131,46.185,3
16,1.91,20.49,48.934,20.49,48.934,44
16,1.846,1.82,49.084,1.82,49.084,32
16,2.695,33.424,47.521,33.424,47.521,4
16,2.716,12.507,35.422,12.507,35.422,29
16,1.358,11.534,35.277,11.534,35.277,14
16,1.443,5.017,10.023,5.017,10.023,0
16,1.432,7.8,10.796,7.8,10.796,16
16,2.366,37.772,15.648,37.772,15.648,17
16,2.557,27.673,18.646,27.673,18.646,20
16,1.209,14.902,19.272,14.902,19.272,19
16,1.74,31.261,19.017,31.261,19.017,21
16,1.294,17.992,20.364,17.992,20.364,22
16,1.74,16.605,24.596,16.605,24.596,38
16,1.623,39.064,27.341,39.064,27.341,37
16,1.825,39.92,27.574,39.92,27.574,33
16,1.358,16.749,30.375,16.749,30.375,24
17,1.125,49.511,40.228,49.511,40.228,30
17,1.167,28.05,40.998,28.05,40.998,15
17,2.334,31.573,42.006,31.573,42.006,11
17,1.04,48.346,42.974,48.346,42.974,5
17,1.22,26.131,44.225,26.131,44.225,1
17,2.589,8.266,43.16,8.266,43.16,13
17,1.369,7.366,46.002,7.366,46.002,3
17,1.125,48.4,46.585,48.4,46.585,41
17,1.878,20.379,48.321,20.379,48.321,44
17,1.835,1.544,49.428,1.544,49.428,32
17,2.78,33.418,47.515,33.418,47.515,4
17,1.369,11.402,35.552,11.402,35.552,14
17,1.411,4.961,10.046,4.961,10.046,0
17,1.411,7.721,10.762,7.721,10.762,16
17,2.345,37.498,15.619,37.498,15.619,17
17,2.483,28.518,18.449,28.518,18.449,20
17,1.178,14.913,19.283,14.913,19.283,19
17,1.74,31.334,19.014,31.334,19.014,21
17,1.347,18.016,20.362,18.016,20.362,22
17,1.74,16.557,24.457,16.557,24.457,38
17,1.581,39.268,27.099,39.268,27.099,37
17,1.878,40.162,27.292,40.162,27.292,33
17,1.316,16.738,30.345,16.738,30.345,24
17,2.716,12.466,35.535,12.466,35.535,29
18,1.39,11.229,35.775,11.229,35.775,14
18,1.178,49.49,40.312,49.49,40.312,30
18,2.238,31.631,42.021,31.631,42.021,11
18,1.199,27.341,42.649,27.341,42.649,15
18,1.05,48.357,42.972,48.357,42.972,5
18,1.05,48.222,46.871,48.222,46.871,41
18,2.769,33.422,47.504,33.422,47.504,4
18,2.673,6.176,46.164,6.176,46.164,3
18,1.804,20.296,47.739,20.296,47.739,44
18,2.525,8.844,43.334,8.844,43.334,13
18,2.801,12.258,35.835,12.258,35.835,29
18,1.231,16.882,29.779,16.882,29.779,24
18,1.379,4.884,10.01,4.884,10.01,0
18,1.379,7.688,10.745,7.688,10.745,16
18,2.355,37.128,15.578,37.128,15.578,17
18,2.493,28.661,18.347,28.661,18.347,20
18,1.782,31.356,18.963,31.356,18.963,21
18,1.125,14.891,19.255,14.891,19.255,19
18,1.241,17.951,20.35,17.951,20.35,22
18,1.761,16.514,24.23,16.514,24.23,38
18,1.443,39.463,26.811,39.463,26.811,37
18,1.941,40.528,26.847,40.528,26.847,33
19,1.135,49.471,40.308,49.471,40.308,30
19,1.22,28.024,42.089,28.024,42.089,15
19,2.249,31.731,42.071,31.731,42.071,11
19,1.156,48.363,42.985,48.363,42.985,5
19,2.599,9.507,43.33,9.507,43.33,13
19,2.716,6.209,46.163,6.209,46.163,3
19,1.061,48.234,46.788,48.234,46.788,41
19,1.814,20.108,47.219,20.108,47.219,44
19,1.528,20.114,39.611,20.114,39.611,12
19,1.846,1.436,49.422,1.436,49.422,32
19,2.78,33.419,47.476,33.419,47.476,4
19,2.843,12.265,35.84,12.265,35.84,29
19,1.485,11.115,35.927,11.115,35.927,14
19,1.422,4.562,9.936,4.562,9.936,0
19,1.4,7.387,10.388,7.387,10.388,16
19,2.536,28.614,18.335,28.614,18.335,20
19,1.729,31.247,18.99,31.247,18.99,21
19,1.135,14.92,19.265,14.92,19.265,19
19,2.408,37.187,15.557,37.187,15.557,17
19,1.273,17.958,20.372,17.958,20.372,22
19,1.687,16.515,24.37,16.515,24.37,38
19,1.517,40.187,25.933,40.187,25.933,37
19,1.825,41.05,26.24,41.05,26.24,33
19,1.146,16.841,28.898,16.841,28.898,24
20,2.811,33.41,47.477,33.41,47.477,4
20,1.093,28.193,40.928,28.193,40.928,15
20,1.093,28.471,41.748,28.471,41.748,1
20,2.334,31.809,42.127,31.809,42.127,11
20,1.146,48.302,43.556,48.302,43.556,5
20,2.589,10.486,43.454,10.486,43.454,13
20,1.082,49.217,40.689,49.217,40.689,30
20,1.91,20.065,47.121,20.065,47.121,44
20,1.209,48.405,46.917,48.405,46.917,41
20,1.835,1.577,49.324,1.577,49.324,32
20,2.684,6.135,46.165,6.135,46.165,3
20,1.443,10.969,36.025,10.969,36.025,14
20,1.464,4.323,9.848,4.323,9.848,0
20,1.475,7.165,10.429,7.165,10.429,16
20,2.408,37.015,15.539,37.015,15.539,17
20,2.663,28.829,18.326,28.829,18.326,20
20,1.252,14.861,19.235,14.861,19.235,19
20,1.761,31.276,19.033,31.276,19.033,21
20,1.284,17.922,20.348,17.922,20.348,22
20,1.729,16.504,24.063,16.504,24.063,38
20,1.857,41.055,26.239,41.055,26.239,33
20,1.04,16.867,28.019,16.867,28.019,24
20,2.79,12.267,35.857,12.267,35.857,29
21,1.517,20.147,39.583,20.147,39.583,12
21,1.114,49.064,40.7,49.064,40.7,30
21,1.178,28.045,40.956,28.045,40.956,15
21,1.4,29.111,41.386,29.111,41.386,1
21,2.366,31.89,42.206,31.89,42.206,11
21,1.178,48.299,43.549,48.299,43.549,5
21,2.567,10.844,43.703,10.844,43.703,13
21,2.769,33.398,47.451,33.398,47.451,4
21,2.567,6.254,46.156,6.254,46.156,3
21,1.167,48.277,47.093,48.277,47.093,41
21,1.772,1.59,49.29,1.59,49.29,32
21,1.867,19.088,45.357,19.088,45.357,44
21,1.443,11.185,35.931,11.185,35.931,14
21,2.875,12.264,35.951,12.264,35.951,29
21,1.56,4.221,9.757,4.221,9.757,0
21,1.538,7.046,10.405,7.046,10.405,16
21,2.451,36.52,15.545,36.52,15.545,17
21,2.589,29.107,18.199,29.107,18.199,20
21,1.284,14.731,19.211,14.731,19.211,19
21,1.697,31.315,19.014,31.315,19.014,21
21,1.432,17.854,20.328,17.854,20.328,22
21,1.825,16.357,23.722,16.357,23.722,38
21,1.676,40.766,25.522,40.766,25.522,37
21,1.846,41.104,26.29,41.104,26.29,33
21,1.209,16.823,27.729,16.823,27.729,24
22,1.125,48.859,41.005,48.859,41.005,30
22,1.167,29.318,41.301,29.318,41.301,1
22,2.154,32.095,42.188,32.095,42.188,11
22,2.61,11.263,43.982,11.263,43.982,13
22,1.135,48.266,44.057,48.266,44.057,5
22,1.888,18.845,45.112,18.845,45.112,44
22,2.875,33.38,47.437,33.38,47.437,4
22,2.567,6.206,46.178,6.206,46.178,3
22,1.156,48.311,47.076,48.311,47.076,41
22,1.857,1.621,49.31,1.621,49.31,32
22,2.525,29.377,40.106,29.377,40.106,15
22,2.483,29.096,18.185,29.096,18.185,20
22,2.695,12.251,36.115,12.251,36.115,29
22,1.464,3.963,9.625,3.963,9.625,0
22,1.538,6.747,10.277,6.747,10.277,16
22,1.379,11.001,36.37,11.001,36.37,14
22,1.103,14.74,19.216,14.74,19.216,19
22,1.75,31.283,18.99,31.283,18.99,21
22,2.302,36.452,15.54,36.452,15.54,17
22,1.358,17.89,20.359,17.89,20.359,22
22,1.772,16.224,23.554,16.224,23.554,38
22,1.867,41.27,26.202,41.27,26.202,33
22,1.316,16.727,27.319,16.727,27.319,24
23,2.631,11.303,44.107,11.303,44.107,13
23,1.199,30.04,40.84,30.04,40.84,15
23,1.178,48.699,41.349,48.699,41.349,30
23,1.231,28.181,40.949,28.181,40.949,1
23,2.281,32.025,42.131,32.025,42.131,11
23,1.135,48.196,44.264,48.196,44.264,5
23,1.825,1.607,49.291,1.607,49.291,32
23,2.822,33.367,47.431,33.367,47.431,4
23,2.801,6.285,46.156,6.285,46.156,3
23,1.22,48.247,47.267,48.247,47.267,41
23,1.549,20.113,39.638,20.113,39.638,12
23,1.91,18.93,44.998,18.93,44.998,44
23,1.475,10.907,36.668,10.907,36.668,14
23,1.496,6.783,10.305,6.783,10.305,16
23,2.769,12.291,36.172,12.291,36.172,29
23,1.432,3.914,9.659,3.914,9.659,0
23,2.408,36.524,15.525,36.524,15.525,17
23,2.451,29.529,17.994,29.529,17.994,20
23,1.761,31.301,18.993,31.301,18.993,21
23,1.294,17.917,20.355,17.917,20.355,22
23,1.729,15.851,23.333,15.851,23.333,38
23,1.74,41.409,26.097,41.409,26.097,33
23,1.241,16.666,27.231,16.666,27.231,24
23,1.209,14.803,19.256,14.803,19.256,19
24,2.387,31.982,42.102,31.982,42.102,11
24,1.316,28.173,40.941,28.173,40.941,1
24,1.485,20.133,39.598,20.133,39.598,12
24,1.209,30.605,40.446,30.605,40.446,15
24,1.125,48.794,41.148,48.794,41.148,30
24,2.578,11.413,44.331,11.413,44.331,13
24,1.772,1.777,49.231,1.777,49.231,32
24,1.92,18.931,44.801,18.931,44.801,44
24,2.843,33.358,47.324,33.358,47.324,4
24,1.379,7.66,45.98,7.66,45.98,50
24,1.326,5.014,46.301,5.014,46.301,3
24,1.262,48.32,47.308,48.32,47.308,41
24,1.135,48.178,44.144,48.178,44.144,5
24,2.854,11.812,36.252,11.812,36.252,29
24,1.294,10.666,36.94,10.666,36.94,14
24,1.506,3.976,9.688,3.976,9.688,0
24,1.528,6.761,10.304,6.761,10.304,16
24,2.419,36.445,15.482,36.445,15.482,17
24,2.536,29.85,17.934,29.85,17.934,20
24,1.178,14.784,19.245,14.784,19.245,19
24,1.687,31.294,19.022,31.294,19.022,21
24,1.305,17.901,20.367,17.901,20.367,22
24,1.74,15.61,22.717,15.61,22.717,38
24,1.835,41.578,25.99,41.578,25.99,33
24,1.199,16.779,27.803,16.779,27.803,24
25,1.178,30.908,40.337,30.908,40.337,15
25,1.167,48.863,40.948,48.863,40.948,30
25,2.387,32.068,42.105,32.068,42.105,11
25,1.082,48.241,43.863,48.241,43.863,5
25,2.589,11.488,44.404,11.488,44.404,13
25,2.705,6.3,46.139,6.3,46.139,3
25,2.801,33.367,47.383,33.367,47.383,4
25,1.188,48.323,47.195,48.323,47.195,41
25,1.57,20.136,39.613,20.136,39.613,12
25,1.973,19.008,44.626,19.008,44.626,44
25,2.26,29.499,40.104,29.499,40.104,1
25,1.825,1.844,49.031,1.844,49.031,32
25,2.79,11.629,36.617,11.629,36.617,29
25,2.917,5.197,9.95,5.197,9.95,0
25,2.429,36.268,15.452,36.268,15.452,17
25,2.652,29.996,17.886,29.996,17.886,20
25,1.209,14.793,19.199,14.793,19.199,19
25,1.846,31.325,19.034,31.325,19.034,21
25,1.517,10.52,37.212,10.52,37.212,14
25,1.347,17.911,20.352,17.911,20.352,22
25,1.697,15.571,22.448,15.571,22.448,38
25,1.655,41.187,25.162,41.187,25.162,37
25,1.825,41.52,26.003,41.52,26.003,33
25,1.241,16.851,27.956,16.851,27.956,24
26,2.376,29.484,40.104,29.484,40.104,1
26,1.56,20.097,39.65,20.097,39.65,12
26,1.114,31.191,40.2,31.191,40.2,15
26,1.188,48.751,41.134,48.751,41.134,30
26,2.408,31.839,42.084,31.839,42.084,11
26,2.758,33.376,47.385,33.376,47.385,4
26,1.093,48.245,44.05,48.245,44.05,5
26,1.91,18.827,44.571,18.827,44.571,44
26,1.4,7.662,45.946,7.662,45.946,50
26,1.231,48.268,47.209,48.268,47.209,41
26,1.305,4.97,46.309,4.97,46.309,3
26,1.443,10.355,37.463,10.355,37.463,14
26,2.504,11.642,44.532,11.642,44.532,13
26,1.74,2.158,48.611,2.158,48.611,32
26,2.907,11.523,36.846,11.523,36.846,29
26,1.39,3.652,9.559,3.652,9.559,0
26,1.39,6.388,10.256,6.388,10.256,16
26,2.546,30.063,17.856,30.063,17.856,20
26,1.199,14.801,19.197,14.801,19.197,19
26,2.419,36.052,15.432,36.052,15.432,17
26,1.358,17.799,20.308,17.799,20.308,22
26,1.793,15.556,22.378,15.556,22.378,38
26,1.867,41.52,25.982,41.52,25.982,33
26,1.273,16.872,28.763,16.872,28.763,24
26,1.75,31.285,19.061,31.285,19.061,21
