 ,Label,Area,X,Y,XM,YM
87,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:7/200 - Series 1,3.140,38.292,15.753,38.292,15.753
88,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:7/200 - Series 1,1.973,4.290,18.353,4.290,18.353
89,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:7/200 - Series 1,5.230,54.103,21.400,54.103,21.400
90,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:7/200 - Series 1,4.360,17.063,20.010,17.063,20.010
91,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:7/200 - Series 1,2.610,52.892,27.317,52.892,27.317
92,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:7/200 - Series 1,6.143,37.464,29.546,37.464,29.546
93,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:7/200 - Series 1,4.339,33.878,34.657,33.878,34.657
94,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:7/200 - Series 1,4.275,29.462,40.059,29.462,40.059
95,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:7/200 - Series 1,4.159,19.808,40.765,19.808,40.765
96,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:7/200 - Series 1,8.965,48.700,43.952,48.700,43.952
97,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:7/200 - Series 1,3.161,31.965,42.106,31.965,42.106
98,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:7/200 - Series 1,8.424,5.849,44.282,5.849,44.282
99,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:7/200 - Series 1,9.845,20.729,44.646,20.729,44.646
100,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:7/200 - Series 1,2.504,1.486,46.516,1.486,46.516
101,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:7/200 - Series 1,2.408,24.158,46.366,24.158,46.366
102,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:7/200 - Series 1,3.649,33.409,47.386,33.409,47.386
103,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:7/200 - Series 1,3.649,6.109,46.266,6.109,46.266
104,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:8/200 - Series 1,1.475,54.210,10.649,54.210,10.649
105,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:8/200 - Series 1,1.570,53.592,14.262,53.592,14.262
106,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:8/200 - Series 1,7.872,54.238,19.831,54.238,19.831
107,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:8/200 - Series 1,3.140,38.111,15.758,38.111,15.758
108,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:8/200 - Series 1,1.941,4.329,18.320,4.329,18.320
109,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:8/200 - Series 1,4.435,17.079,20.000,17.079,20.000
110,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:8/200 - Series 1,2.769,53.008,27.560,53.008,27.560
111,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:8/200 - Series 1,6.238,37.770,29.257,37.770,29.257
112,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:8/200 - Series 1,4.265,34.111,34.419,34.111,34.419
113,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:8/200 - Series 1,4.403,29.479,40.058,29.479,40.058
114,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:8/200 - Series 1,4.191,19.777,40.854,19.777,40.854
115,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:8/200 - Series 1,4.328,49.086,42.121,49.086,42.121
116,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:8/200 - Series 1,3.066,31.274,41.928,31.274,41.928
117,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:8/200 - Series 1,9.845,20.171,45.074,20.171,45.074
118,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:8/200 - Series 1,4.424,48.389,45.365,48.389,45.365
119,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:8/200 - Series 1,2.514,24.379,46.264,24.379,46.264
120,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:8/200 - Series 1,3.787,33.432,47.526,33.432,47.526
121,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:8/200 - Series 1,2.451,2.089,48.068,2.089,48.068
122,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:9/200 - Series 1,1.432,54.228,10.694,54.228,10.694
123,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:9/200 - Series 1,1.623,53.566,14.309,53.566,14.309
124,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:9/200 - Series 1,7.808,54.224,19.934,54.224,19.934
125,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:9/200 - Series 1,3.257,38.083,15.728,38.083,15.728
126,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:9/200 - Series 1,1.952,4.449,18.272,4.449,18.272
127,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:9/200 - Series 1,4.604,17.135,20.038,17.135,20.038
128,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:9/200 - Series 1,2.652,53.139,27.832,53.139,27.832
129,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:9/200 - Series 1,6.164,37.913,29.144,37.913,29.144
130,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:9/200 - Series 1,4.244,34.108,34.421,34.108,34.421
131,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:9/200 - Series 1,4.307,29.497,40.048,29.497,40.048
132,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:9/200 - Series 1,4.159,19.770,40.842,19.770,40.842
