xHead	yHead	tHead	xTail	yTail	tTail	xBody	yBody	tBody	curvature	areaBody	perimeterBody	headMajorAxisLength	headMinorAxisLength	headExcentricity	tailMajorAxisLength	tailMinorAxisLength	tailExcentricity	bodyMajorAxisLength	bodyMinorAxisLength	bodyExcentricity	imageNumber	id
219.918	258.271	5.6124	215.562	255.352	5.62497	218.286	257.179	5.67166	0.000592583	17.5	23.5563	3.71266	1.70953	0.887681	2.53478	1.56716	0.785971	6.03145	1.47224	0.969752	1	10
203.3	270.02	0.314276	195.499	273.081	0.386021	200.173	271.25	0.36438	0.000170973	34	38.9706	5.57835	1.94089	0.93752	4.41822	1.79829	0.91342	9.81219	1.69987	0.98488	1	11
6.71123	250.027	4.87676	1.81103	250.127	1.54998	4.64912	250.07	0.0030238	0.00332012	36	43.3137	4.12941	3.2705	0.610518	4.63095	2.64985	0.820111	5.62566	4.21957	0.661373	1	12
70.8972	247.211	0.307505	62.6404	249.716	0.219432	67.225	248.325	0.291545	0.000257418	22.5	37.5563	5.50383	1.63856	0.954655	4.24034	1.6245	0.923704	9.85686	1.42029	0.989564	1	14
49.5697	243.917	2.28376	51.3961	254.287	1.59746	50.5052	249.237	1.75563	0.00419057	63.5	77.8406	6.47842	4.22042	0.758685	8.4614	4.48889	0.847676	12.801	4.69292	0.930376	1	16
251.56	239.583	6.16769	243.529	238.653	0.0416721	248.111	239.185	6.18017	0.000109559	11	33.3137	4.46179	1.35651	0.952663	4.11542	1.18967	0.957306	9.02998	1.11171	0.992393	1	17
15.434	252.593	5.31498	13.8451	244.848	4.31267	14.7067	249.053	4.91047	0.00230172	42.5	70.0416	5.22152	3.74769	0.696312	5.11193	3.53069	0.723165	9.21448	3.96878	0.90249	1	18
155.97	227.676	1.19612	152.938	233.435	1.1963	154.129	231.161	1.11313	8.95591e-07	17	31.799	3.39964	1.65485	0.873529	4.63434	1.54225	0.943002	7.75582	1.41392	0.983242	1	20
143.977	229.908	5.87435	131.234	226.163	6.0052	138.082	228.178	5.98166	0.000809032	46.5	58.0416	7.64075	1.83197	0.970831	6.93333	1.7708	0.966834	15.1408	1.72839	0.993463	1	21
158.806	234.63	3.81584	169.151	227.001	3.84092	164.145	230.71	3.78791	6.25342e-05	44	58.7696	6.40141	1.93719	0.953111	7.53546	1.70284	0.974133	14.8712	1.66604	0.993705	1	22
