,spot ID,Track ID,x (micron),y (micron),T (sec),Frame,Classification,squared displacement,vx,vy,speed,diff time autocorrelation,distance to nearest AC,smooth avg speed
2335,122884,11,120.9915219,100.6537682,378.1622882,113,After_Contact,1716.8127629756077,0.1396552023987987,0.0,0.1396552023987987,0.0281718294990441,22.40776707862501,0.229109363965269
2336,122887,11,122.0782721,100.2915182,381.5088571,114,After_Contact,1786.54953107211,0.3258621289355357,-0.1086206896551733,0.34348883722119,0.0455083415705956,21.98344328930683,0.1396552023987987
2337,122890,11,123.2685223,99.77401806,384.8554261,115,After_Contact,1874.9979361329029,0.3568966116941511,-0.1551724557721126,0.3891705056515896,0.133154028857989,21.677201721453887,0.34348883722119
2338,122893,11,123.5790224,99.92926809,388.201995,116,After_Contact,1876.8216991162683,0.0931034782608691,0.0465517331334304,0.104092850484547,0.0260047691774818,21.371163146555556,0.3891705056515896
2339,122896,11,124.2517725,99.67051804,391.5485639,117,After_Contact,1926.0873540420944,0.2017241679160425,-0.0775862218890521,0.2161301962901921,0.0151694485860529,21.208180207639728,0.104092850484547
2340,122899,11,124.9245226,99.72226805,394.8951328,118,After_Contact,1952.9322612329904,0.2017241679160425,0.0155172443778087,0.2023201047708812,0.0394887155560164,20.803761218132205,0.2161301962901921
2341,122902,11,124.8727726,99.82576807,398.2417018,119,After_Contact,1942.7582984420908,-0.0155172413793098,0.0310344887556217,0.0346976119112912,-0.0026486328594323,20.743104850210884,0.2023201047708812
2342,122905,11,125.4937727,100.1880181,401.5882707,120,After_Contact,1944.823087418916,0.1862069265367283,0.1086206986506742,0.2155724371658286,0.0004815700253323,20.109858722014764,0.0346976119112912
2343,122908,11,125.4937727,100.1880181,404.9348396,121,After_Contact,1944.823087418916,0.0,0.0,0.0,0.0,20.109858722014764,0.2155724371658286
2344,122911,11,126.1665228,100.4985182,408.2814085,122,After_Contact,1954.2579006852643,0.2017241679160425,0.0931034782608734,0.2221731252552672,0.0,19.50164748726248,0.0
2345,122914,11,126.4770229,100.6537682,411.6279774,123,After_Contact,1958.106282097116,0.0931034782608691,0.0465517241379296,0.1040928464616375,0.023115349118545,19.21365170171604,0.2221731252552672
2346,122917,11,127.046273,100.8090182,414.9745464,124,After_Contact,1975.224465701167,0.1706896851574227,0.0465517241379296,0.1769238017886627,0.0180588664116225,18.805097159452817,0.1040928464616375
2347,122920,11,127.6155231,101.0160183,418.3211153,125,After_Contact,1989.276260011267,0.1706896851574227,0.0620689955022494,0.1816246922139123,0.0320243873752791,18.360126147583205,0.1769238017886627
2348,122923,11,128.4435232,101.4817684,421.6676842,126,After_Contact,1999.187769127115,0.2482758920539678,0.139655202398803,0.284858726621187,0.051046391976427,17.58044829767935,0.1816246922139123
2349,122926,11,129.0127734,101.7405184,425.0142531,127,After_Contact,2011.421171637068,0.1706897151424285,0.0775862068965493,0.1874955955642626,0.053213458718917,17.110756369806868,0.284858726621187
2350,122929,11,129.9960235,102.4650185,428.3608221,128,After_Contact,2014.9535351637685,0.2948276161919102,0.2172414092953523,0.3662200884468725,0.0671789787520055,16.065288894037803,0.1874955955642626
2351,122932,11,130.5652736,102.5167686,431.707391,129,After_Contact,2043.8391212321176,0.1706896851574227,0.0155172713643198,0.1713935656019036,0.0536950268831138,15.817864568405009,0.3662200884468725
2352,122935,11,131.1862737,102.8272686,435.0539599,130,After_Contact,2058.493487667368,0.1862069265367241,0.0931034482758592,0.2081856661038616,0.0332283131365351,15.325232916111188,0.1713935656019036
2353,122938,11,131.6520238,102.8790186,438.4005288,131,After_Contact,2082.5692798095697,0.139655202398803,0.0155172413793098,0.1405146267727115,0.0274494746936878,15.140190717745682,0.2081856661038616
2354,122941,11,132.480024,103.2930187,441.7470977,132,After_Contact,2104.4222790210697,0.2482759220389778,0.1241379610194931,0.2775809194277982,0.0365993028485777,14.528699790694471,0.1405146267727115
2355,122944,11,133.2390241,103.3275187,445.0936667,133,After_Contact,2149.3125721437714,0.2275862368815618,0.0103448275862051,0.2278212252528255,0.0577883686088006,14.337594709637685,0.2775809194277982
2356,122947,11,133.7220242,103.6035188,448.4402356,134,After_Contact,2161.272205875671,0.1448276161919034,0.082758650674664,0.1668053736344257,0.0338168961381388,13.984639411530743,0.2278212252528255
2357,122950,11,134.3085243,103.7070188,451.7868045,135,After_Contact,2192.156824929972,0.1758620989505232,0.0310344827586197,0.1785794416145898,0.0280380604869984,13.804540030006212,0.1668053736344257
2358,122953,11,134.7225244,103.7070188,455.1333734,136,After_Contact,2219.294536411574,0.1241379610194931,0.0,0.1241379610194931,0.0218311623843262,13.764400580284953,0.1785794416145898
2359,122956,11,135.3780245,103.8105188,458.4799424,137,After_Contact,2256.011381742376,0.196551754122942,0.0310344827586197,0.1989867612905455,0.0243995339916267,13.6227292096611,0.1241379610194931
2360,122959,11,135.6885246,104.0175188,461.8265113,138,After_Contact,2263.156460544676,0.0931034782608649,0.0620689655172437,0.111896443842743,0.0202259302073104,13.408477778434,0.1989867612905455
2361,122962,11,135.9300246,104.1555189,465.1730802,139,After_Contact,2270.4324534678744,0.0724137931034488,0.0413793403298348,0.0834026812384434,0.0093103488600525,13.269710490491576,0.111896443842743
2362,122965,11,135.9645246,104.2245189,468.5196491,140,After_Contact,2268.217397817675,0.0103448275862094,0.0206896551724145,0.0231317376982755,0.0016052324872048,13.200960686899348,0.0834026812384434
2363,122968,11,136.1715246,104.2245189,471.866218,141,After_Contact,2282.428985384475,0.0620689655172394,0.0,0.0620689655172394,0.0006420927467302,13.20434766436654,0.0231317376982755
2364,122971,11,136.3440247,104.2245189,475.212787,142,After_Contact,2294.3374456941765,0.0517241679160442,0.0,0.0517241679160442,0.0032104655947888,13.209647594726633,0.0620689655172394
2365,122974,11,136.4130247,104.2245189,478.5593559,143,After_Contact,2299.117490563576,0.0206896551724103,0.0,0.0206896551724103,0.0010701551982628,13.21239758656494,0.0517241679160442
2366,122977,11,136.7580248,104.1210188,481.9059248,144,After_Contact,2330.0271120507778,0.1034483058470743,-0.0310345127436297,0.1080032081183904,0.002140309776146,13.33479646294492,0.0206896551724103
2367,122980,11,136.7925248,104.0175188,485.2524937,145,After_Contact,2339.3324882550783,0.0103448275862094,-0.0310344827586197,0.0327132171741555,0.0020332949387377,13.440429272451391,0.1080032081183904
2368,122983,11,137.2065248,103.8795188,488.5990627,146,After_Contact,2377.74424323788,0.1241379310344874,-0.0413793103448291,0.1308528686966275,0.0025683709869206,13.613037808416182,0.0327132171741555
2369,122986,11,137.862025,104.1900189,491.9456316,147,After_Contact,2403.98450715788,0.1965517841079392,0.0931034782608691,0.217487612291565,0.0205469740991572,13.386744384576188,0.1308528686966275
2370,122989,11,137.862025,104.3280189,495.2922005,148,After_Contact,2394.85290750188,0.0,0.0413793103448291,0.0413793103448291,0.0038525577211395,13.250325069008005,0.217487612291565
2371,122992,11,138.207025,104.3280189,498.6387694,149,After_Contact,2419.895772055879,0.1034482758620686,0.0,0.1034482758620686,0.0,13.30703034806722,0.0413793103448291
2372,122995,11,138.5175251,104.6385189,501.9853383,150,After_Contact,2422.231050283882,0.0931034782608734,0.0931034482758592,0.1316681804580306,0.0096313943028489,13.06135992075049,0.1034482758620686
2373,122998,11,138.8280251,104.707519,505.3319073,151,After_Contact,2440.657307339179,0.0931034482758592,0.0206896851574245,0.0953746043387281,0.0105945359044618,13.061050814585736,0.1316681804580306
2374,123001,11,139.3455252,104.707519,508.6784762,152,After_Contact,2479.310690544681,0.1551724437781129,0.0,0.1551724437781129,0.0144470895931342,13.18859512261999,0.0953746043387281
2375,123004,11,139.3455252,104.707519,512.0250451,153,After_Contact,2479.310690544681,0.0,0.0,0.0,0.0,13.18859512261999,0.1551724437781129
2376,123007,11,139.6560253,104.5350189,515.371614,154,After_Contact,2514.0493474479854,0.0931034782608734,-0.0517241679160442,0.10650655947349,0.0,13.439576676420923,0.0
2377,123010,11,139.6560253,104.4315189,518.718183,155,After_Contact,2520.8516274399854,0.0,-0.0310344827586197,0.0310344827586197,0.0016052327973944,13.538875860982596,0.10650655947349
2378,123013,11,140.3115254,104.3970189,522.0647519,156,After_Contact,2573.260732614085,0.1965517541229335,-0.0103448275862051,0.1968237981205281,0.0003210463733649,13.666066563975248,0.0310344827586197
2379,123016,11,141.5535256,103.7415188,525.4113208,157,After_Contact,2714.2375612638903,0.3724138530734653,-0.196551754122942,0.4210993588333163,0.075231890089438,12.27879544016466,0.1968237981205281
2380,123019,11,142.0710257,103.7415188,528.7578897,158,After_Contact,2755.711838031993,0.1551724437781129,0.0,0.1551724437781129,0.0577883676782326,11.788821420329237,0.4210993588333163
2381,123022,11,144.1410261,103.5345187,532.1044586,159,After_Contact,2940.9195724617985,0.6206897751124432,-0.0620689955022451,0.6237855057083268,0.0963139492322851,9.777650490293189,0.1551724437781129
2382,123025,11,145.1070263,103.5258937,535.4510276,160,After_Contact,3024.353823682377,0.2896552323838069,-0.0025862068965544,0.289666777717827,0.1799465643126777,8.885883959347609,0.6237855057083268
2383,123028,11,145.6504014,103.2930187,538.7975965,161,After_Contact,3087.5828995623274,0.1629310644677636,-0.0698275862068944,0.1772637119211933,0.0473744239259691,8.29482532817127,0.289666777717827
2384,123031,11,145.9609014,103.3965187,542.1441654,162,After_Contact,3107.909397621929,0.0931034482758677,0.0310344827586197,0.098139651522472,0.0130023809129925,8.057778097290301,0.1772637119211933
2385,123034,11,146.1937765,103.2412687,545.4907343,163,After_Contact,3139.1242391480555,0.0698276161919043,-0.0465517241379296,0.0839223391193179,0.0050564831722075,7.780535396844591,0.098139651522472
2386,123037,11,146.5560265,103.1636437,548.8373033,164,After_Contact,3176.76240586968,0.108620689655169,-0.023275862068969,0.111086542732314,0.0086682553378482,7.42093231159345,0.0839223391193179
2387,123040,11,146.9182766,103.3447687,552.1838722,165,After_Contact,3197.0132576371075,0.1086207196401833,0.0543103448275888,0.1214416497353478,0.0105343373830323,7.183974044594463,0.111086542732314
2388,123043,11,147.7721517,103.5776437,555.5304411,166,After_Contact,3259.113530240583,0.2560345127436228,0.0698275862068944,0.2653856882187614,0.0316030133123106,6.578246662566132,0.1214416497353478
2389,123046,11,147.9532768,103.5000187,558.87701,167,After_Contact,3281.0696388586093,0.0543103748125945,-0.0232758620689648,0.0590879223474474,0.0122800330869057,6.384993091473771,0.2653856882187614
2390,123049,11,148.1861518,103.5776437,562.2235789,168,After_Contact,3297.39912790211,0.0698275862068986,0.0232758620689648,0.0736047386418519,0.0032505966241019,6.240632801022081,0.0590879223474474
2391,123052,11,148.6519019,103.6811438,565.5701479,169,After_Contact,3333.901128967911,0.139655202398803,0.0310345127436297,0.1430619325267388,0.0104741407227425,5.938402695060499,0.0736047386418519
2392,123055,11,148.6260269,103.6811438,568.9167168,170,After_Contact,3331.4741343874102,-0.0077586206896591,0.0,0.0077586206896591,-0.0010835317427498,5.9582690994115,0.1430619325267388
2393,123058,11,148.3931519,103.5258937,572.2632857,171,After_Contact,3320.168028726936,-0.0698275862068986,-0.0465517541229395,0.0839223308029781,0.0005417657550537,6.043927992570165,0.0077586206896591
2394,123061,11,148.2120268,103.2671437,575.6098546,172,After_Contact,3320.869002421384,-0.0543103748125945,-0.0775862068965493,0.0947060521449324,0.007404136405935,6.039896823685644,0.0839223308029781
2395,123064,11,148.2120268,103.2671437,578.9564236,173,After_Contact,3320.869002421384,0.0,0.0,0.0,-0.0,6.039896823685644,0.0947060521449324
2396,123067,11,147.7462767,103.3447687,582.3029925,174,After_Contact,3272.513218417459,-0.1396552023987945,0.0232758620689648,0.1415815712305162,0.0,6.4716764467224674,0.0
2397,123070,11,147.6945267,103.7070188,585.6495614,175,After_Contact,3243.252695464008,-0.0155172413793098,0.108620719640179,0.1097234957298305,0.0046953043736749,6.715582715458581,0.1415815712305162
2398,123073,11,147.3064017,104.2503939,588.9961303,176,After_Contact,3171.471227554381,-0.1163793103448282,0.1629310644677678,0.2002265607878679,0.0195035753244076,7.348000464107216,0.1097234957298305
2399,123076,11,147.9791518,103.9657688,592.3426992,177,After_Contact,3252.152577482884,0.2017241679160425,-0.0853448575712142,0.2190351219217378,-0.0373818480328813,6.640426505044421,0.2002265607878679
2400,123079,11,148.3155268,104.1986439,595.6892682,178,After_Contact,3267.880834726232,0.1008620689655098,0.0698276161919001,0.1226745814708433,0.0143868889779228,6.530994268327402,0.2190351219217378
2401,123082,11,148.988277,104.4056439,599.0358371,179,After_Contact,3317.3205742560367,0.2017241979010567,0.0620689655172437,0.2110573583157088,0.0246804478622749,6.19364617106402,0.1226745814708433
2402,123085,11,149.091777,104.4315189,602.382406,180,After_Contact,3325.407654960112,0.0310344827586197,0.0077586206896549,0.0319896126125498,0.0067419757018042,6.142823908332878,0.2110573583157088
2403,123088,11,149.091777,104.3280189,605.7289749,181,After_Contact,3332.231359452111,0.0,-0.0310344827586197,0.0310344827586197,-0.0002407847800237,6.066363276831189,0.0319896126125498
2404,123091,11,148.2120268,103.9140188,609.0755439,182,After_Contact,3277.199831073408,-0.2637931634182962,-0.1241379610194931,0.2915425636717718,0.0038525574109496,6.426029596653877,0.0310344827586197
2405,123094,11,146.6336515,103.4741437,612.4221128,183,After_Contact,3162.5961221676307,-0.4732759520239809,-0.1318965817091438,0.4913113422573941,0.1412203332730257,7.495706545463315,0.2915425636717718
2406,123097,11,146.5042765,103.6035188,615.7686817,184,After_Contact,3142.2495318755537,-0.0387931034482789,0.0387931334332846,0.0548617542257035,0.013243161272812,7.671522697639986,0.4913113422573941
2407,123100,11,146.4007765,103.4741437,619.1152506,185,After_Contact,3141.7413761919306,-0.0310344827586197,-0.0387931334332846,0.04967943560134,-0.0003009833014536,7.700708973542738,0.0548617542257035
2408,123103,11,146.1161514,103.6293938,622.4618195,186,After_Contact,3105.9068692408773,-0.0853448575712142,0.0465517541229395,0.0972152792814661,0.000842745101586,8.024898436391586,0.04967943560134
2409,123106,11,146.0126514,103.3447687,625.8083885,187,After_Contact,3116.005182029129,-0.0310344827586197,-0.0853448575712142,0.0908123550732273,-0.0013243193144817,7.988634526602237,0.0972152792814661
2410,123109,11,145.2622763,102.0768935,629.1549574,188,After_Contact,3137.949235272479,-0.2250000299850116,-0.3801724737631202,0.4417647827752077,0.0394285251770684,8.244581562595144,0.0908123550732273
2411,123112,11,145.2105263,101.8440184,632.5015263,189,After_Contact,3149.9275485826056,-0.0155172413793098,-0.0698276161919043,0.071530977646525,0.0300379173602873,8.23555391767488,0.4417647827752077
2412,123115,11,145.0552763,101.7663934,635.8480952,190,After_Contact,3141.9716929669057,-0.0465517241379296,-0.0232758620689648,0.0520464098211141,0.0023476523031586,8.368429049786167,0.071530977646525
2413,123118,11,145.0294013,101.7146434,639.1946642,191,After_Contact,3143.4158384339544,-0.0077586206896591,-0.0155172413793098,0.0173488032737066,0.0007223543400714,8.382092553414406,0.0520464098211141
2414,123121,11,144.5377762,101.0936433,642.5412331,192,After_Contact,3145.73169197688,-0.1474138230884537,-0.1862069265367326,0.2374949572681703,0.0040331457633257,8.75416510996458,0.0173488032737066
2415,123124,11,144.3307761,100.8607683,645.887802,193,After_Contact,3144.994546600454,-0.0620689955022451,-0.0698275862068944,0.0934261847564107,0.0221522081373105,8.930353917925972,0.2374949572681703
2416,123127,11,144.3825261,99.41176799,649.2343709,194,After_Contact,3257.234867480013,0.0155172413793098,-0.4344828515742136,0.4347598568084269,0.029375749188336,8.835364635314694,0.0934261847564107
2417,123130,11,144.3307761,99.25651797,652.5809398,195,After_Contact,3264.6263228521384,-0.0155172413793098,-0.0465517301349316,0.0490698314504876,0.0199851436747145,8.896401490280425,0.4347598568084269
2418,123133,11,144.1237761,98.81664289,655.9275088,196,After_Contact,3280.738225441091,-0.0620689655172479,-0.1318965757121461,0.1457712700259252,0.0071031529183685,9.143104077441032,0.0490698314504876
2419,123136,11,143.9944011,98.79076788,659.2740777,197,After_Contact,3271.782783582559,-0.0387931034482704,-0.0077586236881538,0.0395613588831651,0.0034311836969443,9.274604911440736,0.1457712700259252
